,Cu,Ni,Cr,NO3
635,2.8106558,3.922686,2.8040729,21.464825
636,2.945251,1.6416339,3.4540951,19.398922
637,3.53664,1.8660698,3.8282175,22.207937
638,3.0390313,2.442655,4.2262983,23.733517
639,3.2050822,1.364186,4.90283,23.904787
640,3.1406572,2.4184012,0.116914466,11.522644
641,3.2780778,1.9069251,0.80324453,12.492964
642,2.9152029,3.078956,1.2417169,15.589179
643,2.901304,3.8444371,1.8847357,18.935717
644,2.9318407,2.5805774,2.3499434,17.971628
645,2.4482894,2.895725,3.268704,20.358952
646,3.164263,2.3181279,3.3414772,21.014282
647,2.8854487,3.239658,4.0319843,24.059464
648,3.1504161,2.9756782,4.647606,26.018368
649,3.0345924,1.8378513,4.9898024,24.688723
650,3.1288817,2.964307,0.098762244,12.630787
651,3.0972693,3.1473787,0.6893191,14.445452
652,2.999925,3.1281235,1.2115908,15.6691475
653,2.9458327,3.002776,1.8167956,17.25636
654,2.7872615,2.967921,2.6225004,19.27063
655,2.5124784,3.1592574,3.28896,20.98058
656,3.2783096,3.6007123,3.4228806,23.752535
657,2.9981046,2.0584962,4.220651,22.692532
658,3.1230836,1.6938354,4.659514,23.600843
659,2.852231,2.4437528,5.055122,25.360128
660,3.119698,3.8968854,0.12911278,14.396096
661,3.2237067,3.7273595,0.6236905,15.833328
662,3.2006147,3.2351186,1.3065214,16.554749
663,3.2828894,3.594731,1.7625089,18.98568
664,3.1170084,2.7213557,2.5600803,19.016037
665,3.5163856,2.6436794,2.968418,20.907877
666,3.2704408,2.7055192,3.5560532,22.51272
667,2.8307228,3.5844913,4.1705766,25.274452
668,2.8566194,3.308437,5.107092,27.54797
669,2.9452858,2.6917465,5.1314254,26.468945
670,3.3897412,4.0431976,0.14875676,15.215784
671,3.2196062,3.7511864,0.7215564,15.9067955
672,3.1610312,4.027858,1.3237563,18.201628
673,3.0885057,3.7957554,1.9495559,19.593674
674,2.6919446,3.5941753,2.5642452,20.140917
675,2.9663007,3.153427,2.9842064,20.973902
676,3.0206125,3.2670376,3.681733,23.339504
677,3.1891758,3.0691175,4.5407095,26.17111
678,2.8268306,4.0887175,4.7693825,27.859976
679,3.1984634,3.286181,5.2352276,28.478472
680,3.3808656,4.5682564,0.18220511,16.284935
681,3.24292,4.0733232,0.71167034,16.49588
682,3.4168382,4.480862,1.2145196,19.187773
683,2.9185417,4.211892,1.9652544,20.169785
684,3.3807492,4.0796123,2.3897767,21.916088
685,3.0200908,3.4135687,3.095956,22.084188
686,3.094178,3.9779634,3.6697416,24.934355
687,3.3324344,2.858686,4.0708656,24.5426
688,2.8190448,4.254342,4.828706,28.35245
689,2.713067,3.7304459,5.652388,29.527208
690,3.5067005,5.686667,0.121635295,18.341017
